Iteration,Trainloss
0,33.85047
1,33.61935
2,33.39357
3,33.171898
4,32.952534
5,32.733788
6,32.510452
7,32.27986
8,32.039085
9,31.78574
10,31.518358
11,31.234114
12,30.932299
13,30.612202
14,30.273817
15,29.918459
16,29.547039
17,29.162666
18,28.76875
19,28.369093
20,27.967741
21,27.56755
22,27.171396
23,26.78099
24,26.397144
25,26.020092
26,25.6495
27,25.28526
28,24.927353
29,24.576014
30,24.231678
31,23.89484
32,23.566051
33,23.245773
34,22.934305
35,22.631817
36,22.338284
37,22.053558
38,21.77739
39,21.50943
40,21.249294
41,20.996534
42,20.75073
43,20.511463
44,20.278345
45,20.051025
46,19.829151
47,19.612452
48,19.400667
49,19.193584
50,18.991032
51,18.79281
52,18.598797
53,18.408873
54,18.222921
55,18.040867
56,17.862595
57,17.688038
58,17.51712
59,17.349777
60,17.185947
61,17.025549
62,16.868532
63,16.714834
64,16.5644
65,16.417177
66,16.273096
67,16.13211
68,15.994165
69,15.859205
70,15.727194
71,15.598053
72,15.471746
73,15.348228
74,15.2274475
75,15.109358
76,14.993912
77,14.88106
78,14.770761
79,14.662971
80,14.5576515
81,14.45475
82,14.35423
83,14.256049
84,14.16017
85,14.066551
86,13.975149
87,13.885928
88,13.798847
89,13.713873
90,13.630971
91,13.550096
92,13.471216
93,13.394293
94,13.319292
95,13.246184
96,13.174925
97,13.105484
98,13.037829
99,12.971927
100,12.907745
101,12.845245
102,12.784399
103,12.725173
104,12.667537
105,12.611459
106,12.556907
107,12.503848
108,12.452257
109,12.4021015
110,12.353353
111,12.305979
112,12.2599535
113,12.215246
114,12.171827
115,12.129674
116,12.088752
117,12.049038
118,12.010504
119,11.973124
120,11.936869
121,11.901716
122,11.867638
123,11.83461
124,11.802605
125,11.771604
126,11.741574
127,11.712499
128,11.68435
129,11.657107
130,11.630747
131,11.605246
132,11.580582
133,11.556734
134,11.533681
135,11.5114
136,11.489872
137,11.469073
138,11.448989
139,11.429596
140,11.410876
141,11.392811
142,11.3753805
143,11.358568
144,11.342352
145,11.326722
146,11.311656
147,11.297136
148,11.283148
149,11.269675
150,11.256703
151,11.244215
152,11.232195
153,11.22063
154,11.209505
155,11.198806
156,11.1885195
157,11.178632
158,11.169128
159,11.160001
160,11.151233
161,11.142815
162,11.134731
163,11.126973
164,11.119531
165,11.11239
166,11.105542
167,11.098977
168,11.092684
169,11.086654
170,11.080876
171,11.075342
172,11.070043
173,11.06497
174,11.060115
175,11.055473
176,11.051028
177,11.046779
178,11.042717
179,11.038834
180,11.035123
181,11.031577
182,11.0281925
183,11.02496
184,11.021873
185,11.0189295
186,11.016121
187,11.01344
188,11.010885
189,11.008448
190,11.006125
191,11.003913
192,11.001806
193,10.999799
194,10.997888
195,10.996068
196,10.994336
197,10.99269
198,10.991123
199,10.989634
200,10.988217
201,10.986872
202,10.985594
203,10.984381
204,10.983227
205,10.982133
206,10.981093
207,10.980106
208,10.979172
209,10.978285
210,10.977444
211,10.976647
212,10.975891
213,10.975177
214,10.974499
215,10.973857
216,10.973249
217,10.972674
218,10.972132
219,10.971617
220,10.97113
221,10.970671
222,10.970237
223,10.969825
224,10.969439
225,10.969071
226,10.968725
227,10.9684
228,10.968092
229,10.967802
230,10.967527
231,10.96727
232,10.967026
233,10.966797
234,10.966581
235,10.966377
236,10.966186
237,10.966006
238,10.965837
239,10.965676
240,10.965527
241,10.965386
242,10.965253
243,10.965128
244,10.965013
245,10.964903
246,10.964799
247,10.964701
248,10.964611
249,10.964525
250,10.964446
251,10.964372
252,10.964301
253,10.964235
254,10.964173
255,10.964115
256,10.964061
257,10.96401
258,10.9639635
259,10.96392
260,10.963879
261,10.96384
262,10.963803
263,10.96377
264,10.963738
265,10.963709
266,10.963681
267,10.963656
268,10.963632
269,10.96361
270,10.96359
271,10.963569
272,10.9635515
273,10.963535
274,10.963519
275,10.963504
276,10.96349
277,10.963478
278,10.963467
279,10.963454
280,10.963445
281,10.963436
282,10.963427
283,10.963419
284,10.963412
285,10.963404
286,10.963398
287,10.963392
288,10.963386
289,10.963381
290,10.963377
291,10.963371
292,10.963367
293,10.963365
294,10.963361
295,10.963358
296,10.963353
297,10.963351
298,10.963349
299,10.9633465
300,10.963345
301,10.963343
302,10.96334
303,10.963339
304,10.963337
305,10.963336
306,10.963334
307,10.963333
308,10.963332
309,10.963331
310,10.963329
311,10.963329
312,10.963328
313,10.963328
314,10.963326
315,10.963326
316,10.963326
317,10.9633255
318,10.963325
319,10.963324
320,10.963324
321,10.963324
322,10.963323
323,10.963324
324,10.963323
325,10.963323
326,10.963322
327,10.963322
328,10.963322
329,10.963322
330,10.963322
331,10.963321
332,10.963321
333,10.963321
334,10.963322
335,10.96332
336,10.963321
337,10.963321
338,10.963321
339,10.963322
340,10.963321
341,10.96332
342,10.963321
343,10.96332
344,10.963321
345,10.96332
346,10.96332
347,10.963321
348,10.96332
349,10.96332
350,10.963321
351,10.96332
352,10.96332
353,10.96332
354,10.96332
355,10.96332
356,10.96332
357,10.963319
358,10.96332
359,10.96332
360,10.96332
361,10.96332
362,10.963319
363,10.96332
364,10.96332
365,10.96332
366,10.963319
367,10.96332
368,10.963319
369,10.963321
370,10.96332
371,10.963319
372,10.96332
373,10.96332
374,10.96332
375,10.963319
376,10.96332
377,10.963319
378,10.963319
379,10.963319
380,10.963319
381,10.963318
382,10.96332
383,10.963319
384,10.96332
385,10.96332
386,10.963319
387,10.96332
388,10.96332
389,10.963319
390,10.963321
391,10.963319
392,10.963319
393,10.963319
394,10.963319
395,10.963319
396,10.963319
397,10.96332
398,10.963319
399,10.963319
400,10.96332
401,10.963319
402,10.963319
403,10.96332
404,10.963319
405,10.96332
406,10.963319
407,10.96332
408,10.96332
409,10.963319
410,10.963319
411,10.963319
412,10.963319
413,10.96332
414,10.96332
415,10.96332
416,10.96332
417,10.96332
418,10.96332
419,10.963319
420,10.963319
421,10.963319
422,10.963319
423,10.963319
424,10.963319
425,10.963319
426,10.96332
427,10.963319
428,10.96332
429,10.96332
430,10.96332
431,10.963319
432,10.963319
433,10.963319
434,10.963319
435,10.963319
436,10.963319
437,10.963319
438,10.963319
439,10.96332
440,10.963319
441,10.963319
442,10.963319
443,10.963318
444,10.963318
445,10.963319
446,10.963319
447,10.963318
448,10.963319
449,10.963318
450,10.963318
451,10.963318
452,10.963318
453,10.963318
454,10.963319
455,10.963319
456,10.963319
457,10.963319
458,10.963319
459,10.963319
460,10.963319
461,10.963319
462,10.963319
463,10.963319
464,10.963319
465,10.963319
466,10.963319
467,10.963319
468,10.963318
469,10.963319
470,10.963319
471,10.963318
472,10.963319
473,10.963318
474,10.963319
475,10.963318
476,10.963319
477,10.963317
478,10.963317
479,10.963317
480,10.963317
481,10.963317
482,10.963318
483,10.963317
484,10.963317
485,10.963318
486,10.963318
487,10.963317
488,10.963318
489,10.963317
490,10.963317
491,10.963317
492,10.963317
493,10.963317
494,10.963317
495,10.963318
496,10.963318
497,10.963317
498,10.963317
499,10.963318
